,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,confirmed,cured,dead,updateTime,updateDate,dailyNew_confirmed,dailyNew_dead,dailyNew_cured
51304,海南省,Hainan,460000,海口,Haikou,460100.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51413,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,2,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51415,湖北省,Hubei,420000,十堰,Shiyan,420300.0,1,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51409,湖北省,Hubei,420000,孝感,Xiaogan,420900.0,22,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51414,湖北省,Hubei,420000,宜昌,Yichang,420500.0,1,0,1,2020-01-24 17:30:09.978,2020-01-24,,,
51408,湖北省,Hubei,420000,武汉,Wuhan,420100.0,495,31,23,2020-01-24 17:30:09.978,2020-01-24,,,
51411,湖北省,Hubei,420000,荆州,Jingzhou,421000.0,8,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51412,湖北省,Hubei,420000,荆门,Jingmen,420800.0,8,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51410,湖北省,Hubei,420000,黄冈,Huanggang,421100.0,12,0,0,2020-01-24 17:30:09.978,2020-01-24,,,
51259,湖南省,Hunan,430000,娄底,Loudi,431300.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51258,湖南省,Hunan,430000,岳阳,Yueyang,430600.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51257,湖南省,Hunan,430000,怀化,Huaihua,431200.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51261,湖南省,Hunan,430000,株洲,Zhuzhou,430200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51256,湖南省,Hunan,430000,永州,Yongzhou,431100.0,4,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51262,湖南省,Hunan,430000,湘潭,Xiangtan,430300.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51260,湖南省,Hunan,430000,郴州,Chenzhou,431000.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51255,湖南省,Hunan,430000,长沙,Changsha,430100.0,8,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
52189,甘肃省,Gansu,620000,兰州,Lanzhou,620100.0,1,0,0,2020-01-24 03:50:31.353,2020-01-24,,,
52190,甘肃省,Gansu,620000,白银,Baiyin,620400.0,1,0,0,2020-01-24 03:50:31.353,2020-01-24,,,
51445,福建省,Fujian,350000,三明,Sanming,350400.0,0,0,0,2020-01-24 16:10:16.631,2020-01-24,,,
51405,福建省,Fujian,350000,厦门,Xiamen,350200.0,3,0,0,2020-01-24 17:39:15.611,2020-01-24,,,
51407,福建省,Fujian,350000,宁德,Ningde,350900.0,1,0,0,2020-01-24 17:39:15.611,2020-01-24,,,
51406,福建省,Fujian,350000,泉州,Quanzhou,350500.0,1,0,0,2020-01-24 17:39:15.611,2020-01-24,,,
51444,福建省,Fujian,350000,漳州,Zhangzhou,350600.0,0,0,0,2020-01-24 16:10:16.631,2020-01-24,,,
51404,福建省,Fujian,350000,福州,Fuzhou,350100.0,5,0,0,2020-01-24 17:39:15.611,2020-01-24,,,
52182,贵州省,Guizhou,520000,贵阳,Guiyang,520100.0,1,0,0,2020-01-24 03:50:31.353,2020-01-24,,,
52183,贵州省,Guizhou,520000,铜仁,Tongren,520600.0,1,0,0,2020-01-24 03:50:31.353,2020-01-24,,,
52184,贵州省,Guizhou,520000,黔南州,Qiannan,522700.0,1,0,0,2020-01-24 03:50:31.353,2020-01-24,,,
51319,辽宁省,Liaoning,210000,大连,Dalian,210200.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51320,辽宁省,Liaoning,210000,朝阳,Chaoyang,211300.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,-4.0,0.0,0.0
51318,辽宁省,Liaoning,210000,沈阳,Shenyang,210100.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51239,重庆市,Chongqing,500000,万州区,Wanzhou District,500101.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51254,重庆市,Chongqing,500000,两江新区,Liangjiang New Area,-1.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51244,重庆市,Chongqing,500000,九龙坡区,Jiulongpo District,500107.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51250,重庆市,Chongqing,500000,云阳县,Yunyang County,500235.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51242,重庆市,Chongqing,500000,垫江县,Dianjiang County,500231.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51248,重庆市,Chongqing,500000,大渡口区,Dadukou District,500104.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51251,重庆市,Chongqing,500000,奉节县,Fengjie County,500236.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51240,重庆市,Chongqing,500000,巫山县,Wushan County,500237.0,3,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51252,重庆市,Chongqing,500000,巫溪县,Wuxi County,500238.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51246,重庆市,Chongqing,500000,开州区,Kaizhou District,500154.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51249,重庆市,Chongqing,500000,忠县,Zhong County,500233.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51243,重庆市,Chongqing,500000,永川区,Yongchuan District,500118.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51247,重庆市,Chongqing,500000,涪陵区,Fuling District,500102.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51245,重庆市,Chongqing,500000,渝北区,Yubei District,500112.0,2,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
51253,重庆市,Chongqing,500000,秀山县,Xiushan Tujia and Miao Autonomous County,500241.0,1,0,0,2020-01-24 23:35:03.158,2020-01-24,,,
